Commodity Group,Commodity,MSP (Rs./Quintal),Date,Price,Arrival (Metric Tonnes)
Cereals,Bajra,2775,2025-04-01,2670.55,190145.33
Cereals,Barley,2150,2025-04-01,2299.64,119751.76
Cereals,Jowar,3699,2025-04-01,3317.28,31241.1
Cereals,Maize,2400,2025-04-01,2081.82,173241.92
Cereals,Paddy,2369,2025-04-01,2440.86,141629.11
Cereals,Ragi,4886,2025-04-01,4183.27,193983.47
Cereals,Wheat,2585,2025-04-01,2842.81,42507.21
Fibre Crops,Cotton,7710,2025-04-01,6974.06,36721.73
Oil Seeds,Copra,12100,2025-04-01,11389.4,104975.05
Oil Seeds,Groundnut,7263,2025-04-01,7114.72,58281.27
Oil Seeds,Mustard,6200,2025-04-01,6408.05,27941.8
Oil Seeds,Safflower,6540,2025-04-01,6132.19,73304.05
Oil Seeds,Sesamum,9846,2025-04-01,9716.24,157045.93
Oil Seeds,Soyabean,5328,2025-04-01,4847.96,102871.18
Oil Seeds,Sunflower,7721,2025-04-01,7935.06,9337.76
Pulses,Arhar,8000,2025-04-01,8258.11,34146.3
Pulses,Bengal Gram,5875,2025-04-01,5108.4,189779.66
Pulses,Black Gram,7800,2025-04-01,8889.58,161689.05
Pulses,Green Gram,8768,2025-04-01,8254.06,19579.54
Pulses,Lentil,7000,2025-04-01,7386.89,88058.49
Vegetables,Onion,0,2025-04-01,621.14,6925.98
Vegetables,Potato,0,2025-04-01,1307.33,132521.33
Vegetables,Tomato,0,2025-04-01,816.6,109364.72
Cereals,Bajra,2775,2025-04-02,2512.64,193918.45
Cereals,Barley,2150,2025-04-02,2327.46,187902.81
Cereals,Jowar,3699,2025-04-02,4137.14,119600.1
Cereals,Maize,2400,2025-04-02,2703.75,17744.08
Cereals,Paddy,2369,2025-04-02,2152.94,9093.2
Cereals,Ragi,4886,2025-04-02,4629.97,77766.02
Cereals,Wheat,2585,2025-04-02,2407.68,165756.06
Fibre Crops,Cotton,7710,2025-04-02,7378.67,56222.86
Oil Seeds,Copra,12100,2025-04-02,12254.99,28227.8
Oil Seeds,Groundnut,7263,2025-04-02,7921.46,14956.4
Oil Seeds,Mustard,6200,2025-04-02,7105.61,154460.34
Oil Seeds,Safflower,6540,2025-04-02,5948.88,1154.15
Oil Seeds,Sesamum,9846,2025-04-02,10777.81,141386.13
Oil Seeds,Soyabean,5328,2025-04-02,5694.05,154265.51
Oil Seeds,Sunflower,7721,2025-04-02,6734.36,71725.22
Pulses,Arhar,8000,2025-04-02,7078.09,172627.53
Pulses,Bengal Gram,5875,2025-04-02,6092.31,66213.06
Pulses,Black Gram,7800,2025-04-02,6778.73,62230.92
Pulses,Green Gram,8768,2025-04-02,8308.16,145934.76
Pulses,Lentil,7000,2025-04-02,7288.87,177448.19
Vegetables,Onion,0,2025-04-02,861.26,142663.3
Vegetables,Potato,0,2025-04-02,1283.96,154204.89
Vegetables,Tomato,0,2025-04-02,1000.57,85536.83
Cereals,Bajra,2775,2025-04-03,2379.91,21622.89
Cereals,Barley,2150,2025-04-03,1847.77,127300.26
Cereals,Jowar,3699,2025-04-03,3492.99,101738.71
Cereals,Maize,2400,2025-04-03,2693.45,49895.98
Cereals,Paddy,2369,2025-04-03,2305.31,151122.45
Cereals,Ragi,4886,2025-04-03,4488.47,15442.13
Cereals,Wheat,2585,2025-04-03,2421.95,32286.2
Fibre Crops,Cotton,7710,2025-04-03,8703.89,161633.67
Oil Seeds,Copra,12100,2025-04-03,12584.26,174298.55
Oil Seeds,Groundnut,7263,2025-04-03,7924.67,37354.68
Oil Seeds,Mustard,6200,2025-04-03,6930.16,107891.48
Oil Seeds,Safflower,6540,2025-04-03,7143.2,179223.46
Oil Seeds,Sesamum,9846,2025-04-03,9308.42,22054.88
Oil Seeds,Soyabean,5328,2025-04-03,4893.13,85450.2
Oil Seeds,Sunflower,7721,2025-04-03,8457.62,172153.08
Pulses,Arhar,8000,2025-04-03,6816.69,102173.92
Pulses,Bengal Gram,5875,2025-04-03,5729.44,44460.46
Pulses,Black Gram,7800,2025-04-03,6910.48,67556.15
Pulses,Green Gram,8768,2025-04-03,9933.03,64674.43
Pulses,Lentil,7000,2025-04-03,7039.46,140618.64
Vegetables,Onion,0,2025-04-03,985.86,192491.34
